id,name,street,phone,comment,x_studio_sales_rep
2443,NJD bike service centee,"HIG ,Vijay nagar Opposite Ding Dong chai wala",+91 80835 56196,20 ltr motul ( other local ) Spare parts both genuine and OES( local)Busy 2-3 k genuine parts per day2 din baad se order krega - last talk on 30 oct 2:11,Satyam
2494,Nagendra bike service centre,"Near Kanti factory road,kankarbagh patna -20",+91 97982 50131,Lubricants used-Castrol and Motul Market visit for spare and Mobil- 2-3 times Used genuine and local product both.Buy local product at 30-35%Lubricant used in a month around 60-70 litres Daily order for spare and lubes around 3-5k,Satyam
2469,Pahari service centre,"Choti pahari,near big hospital ,kankarbagh ,Patna-7",+91 80517 22452,Lubricants used-CastrolMarket visit for spare and Mobil-2-3 times Used genuine and local product both Buy local product at 30%(silco brake cables)rolon chain sprocket 25%Lubricant used in a month-80-90Daily order for spares,Satyam
2470,Patna auto parts and accessories,"Guru Govind singh link path,Mahadev asthan,Patna city-8",+91 87979 76968,Staff se baat hui owner se baat karna hai,Satyam
2458,Piyush service and repairing centre,"Zero mile  ,beside hp petrol pump,Patna -7",+91 97082 14999,"Lubricants used-Motul ,castrol,vaxolMarket visit for spare and Mobil-2-3 times Used genuine and local product both Buy local product at 30%Buy Motul 1 litres from retailer at ₹330 per piece",Satyam
2467,Prakash bike repairing shop,"Near mithapur overbridge,kankarbagh,Patna -20",+91 76450 91017,Lubricants used-Castrol and Motul Market visit for spare and Mobil-1-2 times Used genuine and local product both.Buy local product atLubricant used in a month- 20-30 bottles Daily order for spare and lubes-₹1000-2000sk ka breakshoe and mk ka breakshoe steelbird ka cable and air filter a,Satyam
2414,Raj Royal Enfield,"Near Kumar ortho hospital,Vijay nagar road,Patna-26",+91 97988 62338,"Royal Enfield specialist Visits 3to4 time for parts and accesories Deals direct with nearby distributor Lube used-motul,castrol,veedol",Satyam
2424,Raj auto care,"Opposite kumar ortho,Near Dr.kaushlendra kumar,vijay nagar road",+91 88252 19502,N/A,Satyam
2505,Raj auto spares parts,"Saidpur Nahar,near rain basera,kankarbagh,Patna -20",False,"Motul 20w40 buying rate- 320Onn suprajit,mk,diamond,rolon they got on 35% off",Satyam
2454,Rehan service centre,"Beside Zakir Hussain Colege,Khumrar,Patna -20",+91 90978 04044,"lubricants used-Castrol,Motul sab kuch dukan pe hi a jata hai ‘Motul 900ml -300 buying rate",Satyam
2493,Rishi auto,"Beside patliputra sports complex,pacifique cafe ke bagal wale gali me ,kankarbagh,Patna-20",+91 92625 80380,Lubricants used- Motul and Castrol Castrol buying price ₹380 for 900ml and 400 for 1Litres Suprajit or 25% and MK on 25%Daily 5-6 litres movil as discussed by shop owner,Satyam
2417,Rohit service centre,"Near sanjeevani hospital,Geeta Prasad road,kankarbagh patna -26",+91 95254 04528,"Lubricants used -CASTROL,MOTUL,VALVOLINEDaily buyer",Satyam
2464,Santosh Kumar service centre,Changer more new bypass Patna -27,+91 82073 48968,"Lubricants used-Castrol ,servo ,Motul Market visit for spare and Mobi—2-3 times Used genuine and local product both Buy local product at minimum margin",Satyam
2422,Santosh bike service center,"Janta nagar,Bhagwat nagar ,Khumrar,Patna-20",+91 93342 48820,"Lubricants Used-MOTUL,CASTROL,VEEDOL,VALVOLINE Don’t deal in spare partsDeals only with distributors",Satyam
2498,Sikandar work shop,"Opposite audio,Kankarbagh,Patna-20",+91 93087 37352,"lubes used-Valvoline,Castrol In suprajit And mk they got 25% off Minimum order for Mobil is about 2-3 box per day",Satyam
2399,Sonu enterprices,"Road no -3 dwarkapuri ,hanuman nagar,Patna-20",+91 76547 29054,N/A,Satyam
2514,Suresh motorcycle repairing centre,"Vaishali golambar,opposite pramod laddu,kankarbagh,Patna-20",False,Owner nahi the …..but unko interest nahi tha …kyunki unke dukan ke bagal me hi spare parts ki dukan This garage has 2owner….meri baat second owner se hui hai…..usne bola ki hum log lubricants laate nahi hai….customerrs hi laate hai…….Cables me ramsons use krte hai…..and brake shore me allide company ka use krte hai……on 30% off and cables pe 35% pe,Satyam
2504,Tinku servicing centre,"Saidpur Nahar pe,kankarbagh,Patna-20",+91 97980 67595,Lubes used-only HP and servo On suprajit and local oes brand they get 25% offThey use 50-60ltrs movil used in a month.Visit 3-4 times a market,Satyam
2461,Top gear service centre,"Khemnichak starting more,Patna -26",+91 95764 34947,Lubricants used-Castrol and Motul Market visit for spare and Mobil-5 times Bhattacharya Used genuine and local product both Buy local product at 40% margin Lubricant used in a month- 60-70 bottles Daily order for spare and lubes-₹4000-5000Asking for tyres also,Satyam
2453,Vicky auto motorcycle repairing work,"Khumrar police chowki,near Bapu exam parishar,kankarbagh,Patna-20",+91 97711 56004,"Lubricants used - Castrol mostly used,Motul Big stock call pe turnt aa jata hai 1peiece ya 10 piece One day -2boxes used Buy product for 15years buy hero spare and Mobil on 16%Buy product by 16years",Satyam
